Mes,A̱o,Cantidad de Fallecidos
1,2021,11175
1,2022,3562
1,2023,371
1,2024,249
2,2021,18645
2,2022,3503
2,2023,287
2,2024,62
3,2020,181
3,2021,20691
3,2022,1299
3,2023,295
3,2024,2
4,2020,5134
4,2021,23110
4,2022,741
4,2023,337
5,2020,16363
5,2021,16692
5,2022,625
5,2023,323
6,2020,17462
6,2021,7722
6,2022,542
6,2023,291
7,2020,18501
7,2021,3481
7,2022,1025
7,2023,258
8,2020,17668
8,2021,1850
8,2022,1429
8,2023,249
9,2020,8437
9,2021,1140
9,2022,892
9,2023,60
10,2020,4471
10,2021,1066
10,2022,429
10,2023,26
11,2020,3229
11,2021,1107
11,2022,272
11,2023,33
12,2020,3885
12,2021,1283
12,2022,423
12,2023,40
